Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=0, max_workers=2, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=1, max_workers=2, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Using seed: 0
Using seed: 0
Using GPU: False
Using GPU: False
Rank: 0. World Size: 2
Rank: 1. World Size: 2
Dataset cifar10 loaded
Dataset cifar10 loaded
Rank,1,Initialization Time: 1.8638
Rank,0,Initialization Time: 1.8638
Rank: 0, Epoch: 0, Training ...
Rank: 1, Epoch: 0, Training ...
Rank, 1, Epoch, 0, Iteration, 30, It. time, 1.1044s,Elapsed time,34.2686
Rank, 1, Epoch, 0, Iteration, 31, It. time, 1.0919s,Elapsed time,35.3605
Rank, 0, Epoch, 0, Iteration, 31, It. time, 1.0921s,Elapsed time,35.3637
Rank, 1, Epoch, 0, Iteration, 32, It. time, 1.1065s,Elapsed time,36.4670
Rank, 0, Epoch, 0, Iteration, 32, It. time, 1.1069s,Elapsed time,36.4706
Rank, 1, Epoch, 0, Iteration, 33, It. time, 1.1069s,Elapsed time,37.5739
Rank, 0, Epoch, 0, Iteration, 33, It. time, 1.1069s,Elapsed time,37.5775
Rank, 0, Epoch, 0, Iteration, 34, It. time, 1.0819s,Elapsed time,38.6593
Rank, 1, Epoch, 0, Iteration, 34, It. time, 1.0819s,Elapsed time,38.6558
Rank, 0, Epoch, 0, Iteration, 35, It. time, 1.1248s,Elapsed time,39.7841
Rank, 1, Epoch, 0, Iteration, 35, It. time, 1.1249s,Elapsed time,39.7807
Rank, 1, Epoch, 0, Iteration, 36, It. time, 1.1169s,Elapsed time,40.8976
Rank, 0, Epoch, 0, Iteration, 36, It. time, 1.1171s,Elapsed time,40.9012
Rank, 0, Epoch, 0, Iteration, 37, It. time, 1.0876s,Elapsed time,41.9888
Rank, 1, Epoch, 0, Iteration, 37, It. time, 1.0878s,Elapsed time,41.9853
Rank, 1, Epoch, 0, Iteration, 38, It. time, 1.0831s,Elapsed time,43.0684
Rank, 0, Epoch, 0, Iteration, 38, It. time, 1.0831s,Elapsed time,43.0718
Rank, 1, Epoch, 0, Iteration, 39, It. time, 1.0920s,Elapsed time,44.1604
Rank, 0, Epoch, 0, Iteration, 39, It. time, 1.0921s,Elapsed time,44.1639
Rank, 1, Epoch, 0, Iteration, 40, It. time, 1.1120s,Elapsed time,45.2724
Rank, 0, Epoch, 0, Iteration, 40, It. time, 1.1121s,Elapsed time,45.2760
Rank, 0, Epoch, 0, Iteration, 41, It. time, 1.0987s,Elapsed time,46.3748
Rank, 1, Epoch, 0, Iteration, 41, It. time, 1.0988s,Elapsed time,46.3712
Rank, 1, Epoch, 0, Iteration, 42, It. time, 1.0943s,Elapsed time,47.4655
Rank, 0, Epoch, 0, Iteration, 42, It. time, 1.0944s,Elapsed time,47.4691
Rank, 1, Epoch, 0, Iteration, 43, It. time, 1.1062s,Elapsed time,48.5717
Rank, 0, Epoch, 0, Iteration, 43, It. time, 1.1062s,Elapsed time,48.5753
Rank, 0, Epoch, 0, Iteration, 44, It. time, 1.0877s,Elapsed time,49.6631
Rank, 1, Epoch, 0, Iteration, 44, It. time, 1.0877s,Elapsed time,49.6594
Rank, 1, Epoch, 0, Iteration, 45, It. time, 1.0855s,Elapsed time,50.7449
Rank, 0, Epoch, 0, Iteration, 45, It. time, 1.0856s,Elapsed time,50.7487
Rank, 1, Epoch, 0, Iteration, 46, It. time, 1.0790s,Elapsed time,51.8239
