Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=0, max_workers=2, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=1, max_workers=2, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Using seed: 0
Using seed: 0
Using GPU: False
Using GPU: False
Rank: 1. World Size: 2
Rank: 0. World Size: 2
Dataset cifar10 loaded
Dataset cifar10 loaded
Rank,0,Initialization Time: 0.9599
Rank: 0, Epoch: 0, Training ...
Rank,1,Initialization Time: 0.9641
Rank: 1, Epoch: 0, Training ...
Rank, 1, Epoch, 0, Iteration, 30, It. time, 1.2896s,Elapsed time,40.1014
Rank, 1, Epoch, 0, Iteration, 31, It. time, 1.3138s,Elapsed time,41.4152
Rank, 0, Epoch, 0, Iteration, 31, It. time, 1.3273s,Elapsed time,41.4604
Rank, 1, Epoch, 0, Iteration, 32, It. time, 1.2994s,Elapsed time,42.7146
Rank, 0, Epoch, 0, Iteration, 32, It. time, 1.2933s,Elapsed time,42.7538
Rank, 1, Epoch, 0, Iteration, 33, It. time, 1.3098s,Elapsed time,44.0244
Rank, 0, Epoch, 0, Iteration, 33, It. time, 1.3059s,Elapsed time,44.0597
Rank, 1, Epoch, 0, Iteration, 34, It. time, 1.2976s,Elapsed time,45.3220
Rank, 0, Epoch, 0, Iteration, 34, It. time, 1.2953s,Elapsed time,45.3550
Rank, 1, Epoch, 0, Iteration, 35, It. time, 1.2972s,Elapsed time,46.6192
Rank, 0, Epoch, 0, Iteration, 35, It. time, 1.3043s,Elapsed time,46.6593
Rank, 0, Epoch, 0, Iteration, 36, It. time, 1.2794s,Elapsed time,47.9387
Rank, 1, Epoch, 0, Iteration, 36, It. time, 1.2887s,Elapsed time,47.9079
Rank, 1, Epoch, 0, Iteration, 37, It. time, 1.2810s,Elapsed time,49.1889
Rank, 0, Epoch, 0, Iteration, 37, It. time, 1.2918s,Elapsed time,49.2305
Rank, 1, Epoch, 0, Iteration, 38, It. time, 1.3058s,Elapsed time,50.4947
Rank, 0, Epoch, 0, Iteration, 38, It. time, 1.3081s,Elapsed time,50.5386
Rank, 0, Epoch, 0, Iteration, 39, It. time, 1.2790s,Elapsed time,51.8176
Rank, 1, Epoch, 0, Iteration, 39, It. time, 1.2901s,Elapsed time,51.7848
Rank, 0, Epoch, 0, Iteration, 40, It. time, 1.3075s,Elapsed time,53.1252
Rank, 1, Epoch, 0, Iteration, 40, It. time, 1.3006s,Elapsed time,53.0854
Rank, 1, Epoch, 0, Iteration, 41, It. time, 1.3175s,Elapsed time,54.4030
Rank, 0, Epoch, 0, Iteration, 41, It. time, 1.3181s,Elapsed time,54.4432
Rank, 0, Epoch, 0, Iteration, 42, It. time, 1.3034s,Elapsed time,55.7467
Rank, 1, Epoch, 0, Iteration, 42, It. time, 1.3044s,Elapsed time,55.7074
Rank, 0, Epoch, 0, Iteration, 43, It. time, 1.2909s,Elapsed time,57.0375
Rank, 1, Epoch, 0, Iteration, 43, It. time, 1.2934s,Elapsed time,57.0008
Rank, 0, Epoch, 0, Iteration, 44, It. time, 1.2950s,Elapsed time,58.3326
Rank, 1, Epoch, 0, Iteration, 44, It. time, 1.3030s,Elapsed time,58.3038
Rank, 0, Epoch, 0, Iteration, 45, It. time, 1.3024s,Elapsed time,59.6350
Rank, 1, Epoch, 0, Iteration, 45, It. time, 1.3051s,Elapsed time,59.6089
Rank, 0, Epoch, 0, Iteration, 46, It. time, 1.3056s,Elapsed time,60.9406
Rank, 1, Epoch, 0, Iteration, 46, It. time, 1.3053s,Elapsed time,60.9142
Rank, 1, Epoch, 0, Iteration, 47, It. time, 1.3104s,Elapsed time,62.2246
Rank, 0, Epoch, 0, Iteration, 47, It. time, 1.3209s,Elapsed time,62.2616
Rank, 1, Epoch, 0, Iteration, 48, It. time, 1.2931s,Elapsed time,63.5177
Rank, 0, Epoch, 0, Iteration, 48, It. time, 1.2945s,Elapsed time,63.5561
Rank, 1, Epoch, 0, Iteration, 49, It. time, 1.3013s,Elapsed time,64.8191
Rank, 0, Epoch, 0, Iteration, 49, It. time, 1.2968s,Elapsed time,64.8530
Rank, 1, Epoch, 0, Iteration, 50, It. time, 1.2848s,Elapsed time,66.1039
Rank, 0, Epoch, 0, Iteration, 50, It. time, 1.2877s,Elapsed time,66.1406
Rank, 1, Epoch, 0, Iteration, 51, It. time, 1.2844s,Elapsed time,67.3883
Rank, 0, Epoch, 0, Iteration, 51, It. time, 1.2890s,Elapsed time,67.4296
Rank, 1, Epoch, 0, Iteration, 52, It. time, 1.3116s,Elapsed time,68.6999
Rank, 0, Epoch, 0, Iteration, 52, It. time, 1.3097s,Elapsed time,68.7393
Rank, 1, Epoch, 0, Iteration, 53, It. time, 1.3039s,Elapsed time,70.0038
Rank, 0, Epoch, 0, Iteration, 53, It. time, 1.3124s,Elapsed time,70.0517
Rank, 0, Epoch, 0, Iteration, 54, It. time, 1.3010s,Elapsed time,71.3526
Rank, 1, Epoch, 0, Iteration, 54, It. time, 1.3073s,Elapsed time,71.3110
Rank, 0, Epoch, 0, Iteration, 55, It. time, 1.3106s,Elapsed time,72.6632
Rank, 1, Epoch, 0, Iteration, 55, It. time, 1.3128s,Elapsed time,72.6238
Rank, 0, Epoch, 0, Iteration, 56, It. time, 1.2831s,Elapsed time,73.9463
Rank, 1, Epoch, 0, Iteration, 56, It. time, 1.2834s,Elapsed time,73.9073
Rank, 0, Epoch, 0, Iteration, 57, It. time, 1.2869s,Elapsed time,75.2331
Rank, 1, Epoch, 0, Iteration, 57, It. time, 1.2943s,Elapsed time,75.2016
Rank, 1, Epoch, 0, Iteration, 58, It. time, 1.2811s,Elapsed time,76.4827
Rank, 0, Epoch, 0, Iteration, 58, It. time, 1.2850s,Elapsed time,76.5181
Rank, 1, Epoch, 0, Iteration, 59, It. time, 1.2844s,Elapsed time,77.7671
Rank, 0, Epoch, 0, Iteration, 59, It. time, 1.2876s,Elapsed time,77.8057
Rank, 1, Epoch, 0, Iteration, 60, It. time, 1.2743s,Elapsed time,79.0414
Rank, 0, Epoch, 0, Iteration, 60, It. time, 1.2840s,Elapsed time,79.0897
Rank, 1, Epoch, 0, Iteration, 61, It. time, 1.2823s,Elapsed time,80.3236
Rank, 0, Epoch, 0, Iteration, 61, It. time, 1.2849s,Elapsed time,80.3746
Rank, 1, Epoch, 0, Iteration, 62, It. time, 1.2854s,Elapsed time,81.6090
Rank, 0, Epoch, 0, Iteration, 62, It. time, 1.2842s,Elapsed time,81.6588
Rank, 0, Epoch, 0, Iteration, 63, It. time, 1.2902s,Elapsed time,82.9489
Rank, 1, Epoch, 0, Iteration, 63, It. time, 1.2972s,Elapsed time,82.9062
Rank, 0, Epoch, 0, Iteration, 64, It. time, 1.3045s,Elapsed time,84.2534
Rank, 1, Epoch, 0, Iteration, 64, It. time, 1.3038s,Elapsed time,84.2101
Rank, 1, Epoch, 0, Iteration, 65, It. time, 1.3029s,Elapsed time,85.5130
Rank, 0, Epoch, 0, Iteration, 65, It. time, 1.3047s,Elapsed time,85.5582
Rank, 1, Epoch, 0, Iteration, 66, It. time, 1.3107s,Elapsed time,86.8237
Rank, 0, Epoch, 0, Iteration, 66, It. time, 1.3171s,Elapsed time,86.8752
Rank, 1, Epoch, 0, Iteration, 67, It. time, 1.3047s,Elapsed time,88.1284
Rank, 0, Epoch, 0, Iteration, 67, It. time, 1.3008s,Elapsed time,88.1760
Rank, 0, Epoch, 0, Iteration, 68, It. time, 1.2979s,Elapsed time,89.4739
Rank, 1, Epoch, 0, Iteration, 68, It. time, 1.3013s,Elapsed time,89.4296
Rank, 1, Epoch, 0, Iteration, 69, It. time, 1.2946s,Elapsed time,90.7242
Rank, 0, Epoch, 0, Iteration, 69, It. time, 1.2916s,Elapsed time,90.7655
Rank, 1, Epoch, 0, Iteration, 70, It. time, 1.2740s,Elapsed time,91.9982
Rank, 0, Epoch, 0, Iteration, 70, It. time, 1.2729s,Elapsed time,92.0384
Rank, 1, Epoch, 0, Iteration, 71, It. time, 1.2898s,Elapsed time,93.2880
Rank, 0, Epoch, 0, Iteration, 71, It. time, 1.2924s,Elapsed time,93.3309
Rank, 0, Epoch, 0, Iteration, 72, It. time, 1.2935s,Elapsed time,94.6243
Rank, 1, Epoch, 0, Iteration, 72, It. time, 1.2956s,Elapsed time,94.5836
Rank, 1, Epoch, 0, Iteration, 73, It. time, 1.2871s,Elapsed time,95.8707
Rank, 0, Epoch, 0, Iteration, 73, It. time, 1.2923s,Elapsed time,95.9166
Rank, 0, Epoch, 0, Iteration, 74, It. time, 1.2901s,Elapsed time,97.2067
Rank, 1, Epoch, 0, Iteration, 74, It. time, 1.2886s,Elapsed time,97.1594
Rank, 0, Epoch, 0, Iteration, 75, It. time, 1.2788s,Elapsed time,98.4856
Rank, 1, Epoch, 0, Iteration, 75, It. time, 1.2809s,Elapsed time,98.4403
Rank, 0, Epoch, 0, Iteration, 76, It. time, 1.2837s,Elapsed time,99.7693
Rank, 1, Epoch, 0, Iteration, 76, It. time, 1.2823s,Elapsed time,99.7225
Rank, 1, Epoch, 0, Iteration, 77, It. time, 1.2931s,Elapsed time,101.0157
Rank, 0, Epoch, 0, Iteration, 77, It. time, 1.3049s,Elapsed time,101.0742
Rank, 0, Epoch, 0, Iteration, 78, It. time, 1.2763s,Elapsed time,102.3505
Rank, 1, Epoch, 0, Iteration, 78, It. time, 1.2754s,Elapsed time,102.2911
Rank, 0, Epoch, 0, Iteration, 79, It. time, 1.2818s,Elapsed time,103.6324
Rank, 1, Epoch, 0, Iteration, 79, It. time, 1.2774s,Elapsed time,103.5685
