Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=0, max_workers=2, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=1, max_workers=2, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Using seed: 0
Using seed: 0
Using GPU: False
Using GPU: False
Rank: 1. World Size: 2
Rank: 0. World Size: 2
Dataset cifar10 loaded
Dataset cifar10 loaded
Rank,1,Initialization Time: 1.9356
Rank: 1, Epoch: 0, Training ...
Rank,0,Initialization Time: 1.9359
Rank: 0, Epoch: 0, Training ...
Rank, 0, Epoch, 0, Iteration, 30, It. time, 1.1607s,Elapsed time,36.3221
Rank, 0, Epoch, 0, Iteration, 31, It. time, 1.1687s,Elapsed time,37.4907
Rank, 1, Epoch, 0, Iteration, 31, It. time, 1.1661s,Elapsed time,37.5183
Rank, 1, Epoch, 0, Iteration, 32, It. time, 1.1639s,Elapsed time,38.6823
Rank, 0, Epoch, 0, Iteration, 32, It. time, 1.1624s,Elapsed time,38.6531
Rank, 1, Epoch, 0, Iteration, 33, It. time, 1.1537s,Elapsed time,39.8360
Rank, 0, Epoch, 0, Iteration, 33, It. time, 1.1550s,Elapsed time,39.8081
Rank, 1, Epoch, 0, Iteration, 34, It. time, 1.1643s,Elapsed time,41.0003
Rank, 0, Epoch, 0, Iteration, 34, It. time, 1.1661s,Elapsed time,40.9743
Rank, 0, Epoch, 0, Iteration, 35, It. time, 1.1562s,Elapsed time,42.1304
Rank, 1, Epoch, 0, Iteration, 35, It. time, 1.1583s,Elapsed time,42.1585
Rank, 0, Epoch, 0, Iteration, 36, It. time, 1.1628s,Elapsed time,43.2932
Rank, 1, Epoch, 0, Iteration, 36, It. time, 1.1661s,Elapsed time,43.3246
Rank, 0, Epoch, 0, Iteration, 37, It. time, 1.1609s,Elapsed time,44.4541
Rank, 1, Epoch, 0, Iteration, 37, It. time, 1.1571s,Elapsed time,44.4818
Rank, 1, Epoch, 0, Iteration, 38, It. time, 1.1661s,Elapsed time,45.6479
Rank, 0, Epoch, 0, Iteration, 38, It. time, 1.1704s,Elapsed time,45.6245
Rank, 1, Epoch, 0, Iteration, 39, It. time, 1.1610s,Elapsed time,46.8089
Rank, 0, Epoch, 0, Iteration, 39, It. time, 1.1529s,Elapsed time,46.7775
Rank, 0, Epoch, 0, Iteration, 40, It. time, 1.1701s,Elapsed time,47.9476
Rank, 1, Epoch, 0, Iteration, 40, It. time, 1.1690s,Elapsed time,47.9779
Rank, 1, Epoch, 0, Iteration, 41, It. time, 1.1628s,Elapsed time,49.1406
Rank, 0, Epoch, 0, Iteration, 41, It. time, 1.1624s,Elapsed time,49.1100
Rank, 1, Epoch, 0, Iteration, 42, It. time, 1.1582s,Elapsed time,50.2988
Rank, 0, Epoch, 0, Iteration, 42, It. time, 1.1647s,Elapsed time,50.2747
